Probability of Ototoxicity,Cost,Strategy 1,Strategy 2,Strategy 3,QALY,Strategy 1,Strategy 2,Strategy 3,LY,Strategy 1,Strategy 2,Strategy 3,ICER ($/QALY),Strategy 1,Strategy 2,ICER of Enhanced Clinical Observation compared to NSC,WTP Threshold
0.005,,4738.823076,4468.128694,4632.28789,,79.99057178,79.9921022,79.99349236,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,118086.8759,50000
0.00518,,4745.298879,4473.100277,4635.893122,,79.99033459,79.99192011,79.99336031,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,113034.7555,50000
0.00536,,4751.774682,4478.071861,4639.498355,,79.9900974,79.99173801,79.99322826,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,108321.9562,50000
0.00554,,4758.250486,4483.043444,4643.103587,,79.98986021,79.99155592,79.99309621,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,103915.4033,50000
0.00572,,4764.726289,4488.015027,4646.70882,,79.98962302,79.99137382,79.99296416,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,99786.18545,50000
0.0059,,4771.202093,4492.986611,4650.314052,,79.98938583,79.99119173,79.99283211,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,95908.91956,50000
0.00608,,4777.677896,4497.958194,4653.919285,,79.98914864,79.99100963,79.99270006,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,92261.2283,50000
0.00626,,4784.153699,4502.929778,4657.524517,,79.98891145,79.99082754,79.99256801,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,88823.30816,50000
0.00644,,4790.629503,4507.901361,4661.12975,,79.98867426,79.99064544,79.99243596,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,85577.56963,50000
0.00662,,4797.105306,4512.872945,4664.734982,,79.98843707,79.99046335,79.99230392,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,82508.33631,50000
0.0068,,4803.581109,4517.844528,4668.340215,,79.98819988,79.99028125,79.99217187,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,79601.5916,50000
0.00698,,4810.056913,4522.816112,4671.945447,,79.98796269,79.99009916,79.99203982,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,76844.76479,50000
0.00716,,4816.532716,4527.787695,4675.55068,,79.9877255,79.98991706,79.99190777,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,74226.54922,50000
0.00734,,4823.008519,4532.759278,4679.155912,,79.98748831,79.98973497,79.99177572,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,71736.74735,50000
0.00752,,4829.484323,4537.730862,4682.761145,,79.98725112,79.98955287,79.99164367,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,69366.13798,50000
0.0077,,4835.960126,4542.702445,4686.366377,,79.98701393,79.98937078,79.99151162,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,67106.36219,50000
0.00788,,4842.435929,4547.674029,4689.97161,,79.98677674,79.98918868,79.99137957,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,64949.82477,50000
0.00806,,4848.911733,4552.645612,4693.576842,,79.98653955,79.98900659,79.99124752,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,62889.60903,50000
0.00824,,4855.387536,4557.617196,4697.182075,,79.98630236,79.98882449,79.99111547,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,60919.40262,50000
0.00842,,4861.863339,4562.588779,4700.787307,,79.98606517,79.9886424,79.99098342,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,59033.43298,50000
0.0086,,4868.339143,4567.560362,4704.39254,,79.98582798,79.9884603,79.99085137,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,57226.41083,50000
0.00878,,4874.814946,4572.531946,4707.997772,,79.98559079,79.98827821,79.99071932,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,55493.48064,50000
0.00896,,4881.290749,4577.503529,4711.603005,,79.9853536,79.98809612,79.99058727,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,53830.17704,50000
0.00914,,4887.766553,4582.475113,4715.208237,,79.98511641,79.98791402,79.99045522,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,52232.38643,50000
0.00932,,4894.242356,4587.446696,4718.81347,,79.98487922,79.98773193,79.99032317,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,50696.31301,50000
0.0095,,4900.718159,4592.41828,4722.418702,,79.98464203,79.98754983,79.99019112,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,49218.44863,50000
0.00968,,4907.193963,4597.389863,4726.023935,,79.98440484,79.98736774,79.99005908,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,47795.5461,50000
0.00986,,4913.669766,4602.361446,4729.629167,,79.98416765,79.98718564,79.98992703,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,46424.59534,50000
0.01004,,4920.145569,4607.33303,4733.2344,,79.98393046,79.98700355,79.98979498,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,45102.80214,50000
0.01022,,4926.621373,4612.304613,4736.839632,,79.98369327,79.98682145,79.98966293,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,43827.56914,50000
0.0104,,4933.097176,4617.276197,4740.444865,,79.98345608,79.98663936,79.98953088,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,42596.47878,50000
0.01058,,4939.572979,4622.24778,4744.050097,,79.98321889,79.98645726,79.98939883,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,41407.27804,50000
0.01076,,4946.048783,4627.219364,4747.65533,,79.9829817,79.98627517,79.98926678,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,40257.86465,50000
0.01094,,4952.524586,4632.190947,4751.260562,,79.98274451,79.98609307,79.98913473,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,39146.27471,50000
0.01112,,4959.000389,4637.162531,4754.865795,,79.98250732,79.98591098,79.98900268,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,38070.67147,50000
0.0113,,4965.476193,4642.134114,4758.471027,,79.98227013,79.98572888,79.98887063,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,37029.33521,50000
0.01148,,4971.951996,4647.105697,4762.07626,,79.98203294,79.98554679,79.98873858,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,36020.65407,50000
0.01166,,4978.427799,4652.077281,4765.681492,,79.98179575,79.98536469,79.98860653,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,35043.11572,50000
0.01184,,4984.903603,4657.048864,4769.286725,,79.98155856,79.9851826,79.98847448,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,34095.2998,50000
0.01202,,4991.379406,4662.020448,4772.891957,,79.98132137,79.9850005,79.98834243,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,33175.87103,50000
0.0122,,4997.855209,4666.992031,4776.49719,,79.98108418,79.98481841,79.98821038,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,32283.57292,50000
0.01238,,5004.331013,4671.963615,4780.102422,,79.98084699,79.98463631,79.98807833,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,31417.22208,50000
0.01256,,5010.806816,4676.935198,4783.707655,,79.9806098,79.98445422,79.98794629,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,30575.70293,50000
0.01274,,5017.282619,4681.906781,4787.312887,,79.98037261,79.98427212,79.98781424,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,29757.96296,50000
0.01292,,5023.758423,4686.878365,4790.91812,,79.98013542,79.98409003,79.98768219,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,28963.00829,50000
